web-scraper-order,web-scraper-start-url,qwerty,qwerty-href,details,prix,adresse,images-src
"1740004669-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border11mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondain-4653298","Salam les amis éleveurs je mets à votre disposition de jolis couples mondains jeunes et adulte standard issu d'une production de souches importées allant du bleu à lopal .veuillez me confiez vos désirs je saurais les satisfaires inshaa allah!","200 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4653298_uploaded_image1_1711039158.jpg"
"1740004705-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border11mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-4653331","Salut
je vends de jolis couple de pigeon de la race texan","80 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4434579_uploaded_image1_1698581736.jpg"
"1740004862-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4662585","Salam la famille ,
aujourd'hui je vous présente mes pigeons de chairs issus de plusieurs années de sélections 
les critères recherchés étaient : une masse pondérale assez importante, de bon parents, une croissance rapide , et une bonne résistance au maladie.
après un travail de longue date je vous propose des sujets prêtent pour vos projets de production de viande de pigeon bio de qualité mais aussi de bon nourriciers au cas où vous possédez d'autres races. veuillez bien me contacter pour plus dinfo merci!","50 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4662603_uploaded_image1_1711547811.jpg"
"1740004897-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4662603","Salam la famille je suis ici pour vous proposez de jolis couples de voyageurs compétiteurs et de couleurs , adultes et jeunes","10 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4406776_uploaded_image1_1696680924.jpg"
"1740005424-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-4667518","","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_3404905_uploaded_image1_1635261146.jpg"
