web-scraper-order,web-scraper-start-url,qwerty,qwerty-href,details,prix,adresse,images-src
"1740001589-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border11mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondain-4653298","Salam les amis éleveurs je mets à votre disposition de jolis couples mondains jeunes et adulte standard issu d'une production de souches importées allant du bleu à lopal .veuillez me confiez vos désirs je saurais les satisfaires inshaa allah!","200 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4653298_uploaded_image1_1711039158.jpg"
"1740001627-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border11mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-4653331","Salut
je vends de jolis couple de pigeon de la race texan","80 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4434579_uploaded_image1_1698581736.jpg"
"1740001663-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-4662585","Salam la famille ,
aujourd'hui je vous présente mes pigeons de chairs issus de plusieurs années de sélections 
les critères recherchés étaient : une masse pondérale assez importante, de bon parents, une croissance rapide , et une bonne résistance au maladie.
après un travail de longue date je vous propose des sujets prêtent pour vos projets de production de viande de pigeon bio de qualité mais aussi de bon nourriciers au cas où vous possédez d'autres races. veuillez bien me contacter pour plus dinfo merci!","50 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4662603_uploaded_image1_1711547811.jpg"
"1740001711-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-4662603","Salam la famille je suis ici pour vous proposez de jolis couples de voyageurs compétiteurs et de couleurs , adultes et jeunes","10 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4406776_uploaded_image1_1696680924.jpg"
"1740002149-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-4667518","","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_3404905_uploaded_image1_1635261146.jpg"
"1740002343-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border10mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-voyageur-4690857","","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3544759_uploaded_image1_1643532462.jpg"
"1740002786-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-4714367","Bonjour je vend une paire de lapin angora pure sang a un prix tres abordable","20 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_4296184_uploaded_image1_1689472721.jpg"
"1740002954-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","favorite_border9mois","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/volaille-4724548","Nous proposons des pigeons de race soigneusement élevés et en excellente santé. chaque paire de pigeons est sélectionnée avec soin pour garantir des caractéristiques de race authentiques et une bonne condition physique. nos pigeons sont nourris avec une alimentation de qualité supérieure et bénéficient d’un environnement propre et spacieux.le prix est disponible sur demande. si vous êtes intéressé(e), n’hésitez pas à nous contacter pour obtenir plus d’informations sur les tarifs.","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3658331_uploaded_image1_1650244788.jpg"
